Job Title,Description,Link
SALES REPS,Young energetic people to fill in the role of sales representatives.,https://vacancymail.co.zw/jobs/sales-reps-63339/
Receptionist/ PA to the Managing Director,Power Systems Africa is looking for a Dynamic Receptionist who doubles as a PA to the Managing Director on a full time basis.,https://vacancymail.co.zw/jobs/receptionist-pa-to-the-managing-director-63338/
"Baseline Assessment for the project, “Integrated Emergency Response for El Niño Drought Affected Communities in Zimbabwe,","Oxfam is a global movement of people who are fighting inequality to end poverty and injustice. Across regions, from the local to the global, we work with people to bring change that lasts. OVERVIEW Title and brief description of the assignment Baseline Assessment for the project, “Integrated Emergency Response for …",https://vacancymail.co.zw/jobs/baseline-assessment-for-the-project-integrated-emergency-response-for-el-nino-drought-affected-communities-in-zimbabwe-63337/
Call for Supplier`s Registration for the period (January 2026 to December 2028),Methodist Development and Relief Agency (MeDRA) Call for Supplier`s Registration for the period (January 2026 to December 2028) ABOUT MEDRA MeDRA is a faith-based local NGO which is part of the mission of The Methodist Church in Zimbabwe whose mandate is to implement Humanitarian and Developmental programmes that promotes socio-economic …,https://vacancymail.co.zw/jobs/call-for-suppliers-registration-for-the-period-january-2026-to-december-2028-63336/
Administration Assistant Intern,TSCZ is seeking an Administration Assistant Intern.,https://vacancymail.co.zw/jobs/administration-assistant-intern-63335/
IT and Support Graduate trainee,"We are looking for a highly motivated and dynamic IT Graduate Trainee with a Business Management background, IT support knowledge, and an interest in sales and marketing. This role is ideal for someone eager to expand their career by combining IT expertise with sales and marketing responsibilities.",https://vacancymail.co.zw/jobs/it-and-support-graduate-trainee-63334/
Automachanic,"5 years experienced auto mechanic responsible to attend, diagnose, repair, maintain and report all auto mechanic issues within our organisation",https://vacancymail.co.zw/jobs/automachanic-63333/
Mechanic,"5 years experienced Mechanic who will be responsible to attend, maintain, repair and diagnose our company vehicles for smooth running of the business",https://vacancymail.co.zw/jobs/mechanic-63332/
Developers Wanted for Global Opportunities,Are you a talented developer eager to work on cutting-edge global projects? We partner with international companies to connect skilled developers like you with high-impact roles that match your expertise and ambitions.,https://vacancymail.co.zw/jobs/developers-wanted-for-global-opportunities-63331/
Management Accountant,Management Accountant is there to analyse key financial information to provide feedback that will aid managerial planning and organization decision making that will ensure future growth and profitability of the company. Part of the Management Accountant’s role is to reduce the operational and production costs for the business by identifying …,https://vacancymail.co.zw/jobs/management-accountant-63330/
